qty	log_qty	ct
3.65E+08	8.56E+00	8.03
3.65E+08	8.56E+00	8.14
3.65E+08	8.56E+00	8.09
3.65E+07	7.56E+00	11.41
3.65E+07	7.56E+00	11.40
3.65E+07	7.56E+00	11.45
3.65E+06	6.56E+00	15.60
3.65E+06	6.56E+00	15.70
3.65E+06	6.56E+00	15.75
3.65E+05	5.56E+00	19.51
3.65E+05	5.56E+00	19.63
3.65E+05	5.56E+00	19.56
3.65E+04	4.56E+00	23.44
3.65E+04	4.56E+00	23.33
3.65E+04	4.56E+00	23.38
3.65E+03	3.56E+00	27.06
3.65E+03	3.56E+00	27.17
3.65E+03	3.56E+00	27.25
3.65E+02	2.56E+00	30.97
3.65E+02	2.56E+00	30.22
3.65E+02	2.56E+00	30.21
